TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.4482877	340	0.111798	0	
300	0.55	45	0	0.4482877	350	0.111798	0	
300	0.55	45	0	0.3650866	0	0.1129825	0	
300	0.55	45	0	0.3650866	10	0.1129825	0	
300	0.55	45	0	0.3650866	20	0.1129825	0	
300	0.55	45	0	0.3650866	30	0.1129825	0	
300	0.55	45	0	0.3650866	40	0.1129825	0	
300	0.55	45	0	0.3650866	50	0.1129825	0	
300	0.55	45	0	0.3650866	60	0.1129825	0	
300	0.55	45	0	0.3650866	70	0.1129825	0	
300	0.55	45	0	0.3650866	80	0.1129825	0	
300	0.55	45	0	0.3650866	90	0.1129825	0	
300	0.55	45	0	0.3650866	100	0.1129825	0	
300	0.55	45	0	0.3650866	110	0.1129825	0	
300	0.55	45	0	0.3650866	120	0.1129825	0	
300	0.55	45	0	0.3650866	130	0.1129825	0	
300	0.55	45	0	0.3650866	140	0.1129825	0	
300	0.55	45	0	0.3650866	150	0.1129825	0	
300	0.55	45	0	0.3650866	160	0.1129825	0	
300	0.55	45	0	0.3650866	170	0.1129825	0	
300	0.55	45	0	0.3650866	180	0.1129825	0	
300	0.55	45	0	0.3650866	190	0.1129825	0	
300	0.55	45	0	0.3650866	200	0.1129825	0	
300	0.55	45	0	0.3650866	210	0.1129825	0	
300	0.55	45	0	0.3650866	220	0.1129825	0	
300	0.55	45	0	0.3650866	230	0.1129825	0	
300	0.55	45	0	0.3650866	240	0.1129825	0	
300	0.55	45	0	0.3650866	250	0.1129825	0	
300	0.55	45	0	0.3650866	260	0.1129825	0	
300	0.55	45	0	0.3650866	270	0.1129825	0	
300	0.55	45	0	0.3650866	280	0.1129825	0	
300	0.55	45	0	0.3650866	290	0.1129825	0	
300	0.55	45	0	0.3650866	300	0.1129825	0	
300	0.55	45	0	0.3650866	310	0.1129825	0	
300	0.55	45	0	0.3650866	320	0.1129825	0	
300	0.55	45	0	0.3650866	330	0.1129825	0	
300	0.55	45	0	0.3650866	340	0.1129825	0	
300	0.55	45	0	0.3650866	350	0.1129825	0	
300	0.55	45	0	0.2844885	0	0.1139695	0	
300	0.55	45	0	0.2844885	10	0.1139695	0	
300	0.55	45	0	0.2844885	20	0.1139695	0	
300	0.55	45	0	0.2844885	30	0.1139695	0	
300	0.55	45	0	0.2844885	40	0.1139695	0	
300	0.55	45	0	0.2844885	50	0.1139695	0	
300	0.55	45	0	0.2844885	60	0.1139695	0	
300	0.55	45	0	0.2844885	70	0.1139695	0	
300	0.55	45	0	0.2844885	80	0.1139695	0	
300	0.55	45	0	0.2844885	90	0.1139695	0	
300	0.55	45	0	0.2844885	100	0.1139695	0	
300	0.55	45	0	0.2844885	110	0.1139695	0	
300	0.55	45	0	0.2844885	120	0.1139695	0	
300	0.55	45	0	0.2844885	130	0.1139695	0	
300	0.55	45	0	0.2844885	140	0.1139695	0	
300	0.55	45	0	0.2844885	150	0.1139695	0	
300	0.55	45	0	0.2844885	160	0.1139695	0	
300	0.55	45	0	0.2844885	170	0.1139695	0	
300	0.55	45	0	0.2844885	180	0.1139695	0	
300	0.55	45	0	0.2844885	190	0.1139695	0	
300	0.55	45	0	0.2844885	200	0.1139695	0	
300	0.55	45	0	0.2844885	210	0.1139695	0	
300	0.55	45	0	0.2844885	220	0.1139695	0	
300	0.55	45	0	0.2844885	230	0.1139695	0	
300	0.55	45	0	0.2844885	240	0.1139695	0	
300	0.55	45	0	0.2844885	250	0.1139695	0	
300	0.55	45	0	0.2844885	260	0.1139695	0	
300	0.55	45	0	0.2844885	270	0.1139695	0	
300	0.55	45	0	0.2844885	280	0.1139695	0	
300	0.55	45	0	0.2844885	290	0.1139695	0	
300	0.55	45	0	0.2844885	300	0.1139695	0	
300	0.55	45	0	0.2844885	310	0.1139695	0	
300	0.55	45	0	0.2844885	320	0.1139695	0	
300	0.55	45	0	0.2844885	330	0.1139695	0	
300	0.55	45	0	0.2844885	340	0.1139695	0	
300	0.55	45	0	0.2844885	350	0.1139695	0	
300	0.55	45	0	0.2071068	0	0.1151235	0	
300	0.55	45	0	0.2071068	10	0.1151235	0	
300	0.55	45	0	0.2071068	20	0.1151235	0	
300	0.55	45	0	0.2071068	30	0.1151235	0	
300	0.55	45	0	0.2071068	40	0.1151235	0	
300	0.55	45	0	0.2071068	50	0.1151235	0	
300	0.55	45	0	0.2071068	60	0.1151235	0	
300	0.55	45	0	0.2071068	70	0.1151235	0	
300	0.55	45	0	0.2071068	80	0.1151235	0	
300	0.55	45	0	0.2071068	90	0.1151235	0	
300	0.55	45	0	0.2071068	100	0.1151235	0	
300	0.55	45	0	0.2071068	110	0.1151235	0	
300	0.55	45	0	0.2071068	120	0.1151235	0	
300	0.55	45	0	0.2071068	130	0.1151235	0	
